id,user/login,body,submitted_at,pr_number
3207219384,copilot-pull-request-reviewer[bot],"## Pull Request Overview

This PR reverts commit #157408 which changed the expand-fp optimization level argument syntax. The change reverts from a simplified ""O{0,1,2,3}"" format back to a more explicit ""opt-level={0,1,2,3}"" format for the expand-fp pass parameter.

- Reverts the parameter syntax for expand-fp pass from `O{level}` to `opt-level={level}`
- Updates all test files and pipeline configurations to use the reverted syntax
- Modifies the parsing logic to handle the `opt-level=N` format instead of `O{N}`

### Reviewed Changes

Copilot reviewed 6 out of 6 changed files in this pull request and generated 1 comment.

<details>
<summary>Show a summary per file</summary>

| File | Description |
| ---- | ----------- |
| llvm/test/Transforms/ExpandFp/AMDGPU/frem.ll | Updates test RUN command to use `opt-level=1` syntax |
| llvm/test/Transforms/ExpandFp/AMDGPU/frem-inf.ll | Updates test RUN commands to use `opt-level={0,1}` syntax |
| llvm/test/CodeGen/AMDGPU/llc-pipeline-npm.ll | Updates pipeline test expectations to use `opt-level={0,2,3}` syntax |
| llvm/lib/Passes/PassRegistry.def | Updates parameter documentation from `O0;O1;O2;O3` to `opt-level=N` |
| llvm/lib/Passes/PassBuilder.cpp | Modifies parsing logic to handle `opt-level=N` instead of `O{N}` format |
| llvm/lib/CodeGen/ExpandFp.cpp | Updates pipeline printing to output `opt-level=N` format |
</details>




",2025-09-10T17:46:14Z,157912
3207217919,fmayer,Thanks,2025-09-10T17:45:40Z,157910
3207232651,boomanaiden154,,2025-09-10T17:51:10Z,157910
3207860502,shafik,"Now that the original bug report is closed, the problem has not really been ""solved"" just silenced, right? So should there be a follow-up bug report or maybe this fix should have had a `FIXME`?",2025-09-10T21:17:17Z,157906
3207102282,JDevlieghere,,2025-09-10T17:16:07Z,157905
3207121790,bulbazord,,2025-09-10T17:20:55Z,157905
3207111820,pfusik,LGTM,2025-09-10T17:18:31Z,157901
3207120940,preames,LGTM,2025-09-10T17:20:45Z,157901
3207173733,lntue,,2025-09-10T17:32:53Z,157898
3207568960,cmtice,,2025-09-10T19:35:53Z,157884
3206898556,preames,LGTM,2025-09-10T16:21:01Z,157891
3207087943,pfusik,LGTM,2025-09-10T17:12:49Z,157891
3207256652,rampitec,,2025-09-10T17:59:14Z,157877
3206653049,Michael137,,2025-09-10T15:15:16Z,157872
3206588730,Stylie777,LGTM,2025-09-10T14:59:40Z,157871
3206503396,jhuber6,,2025-09-10T14:39:06Z,157870
3207624928,nikic,,2025-09-10T19:56:33Z,157857
3207482903,rampitec,LGTM given that nothing has failed.,2025-09-10T19:07:22Z,157861
3206480501,dtcxzyw,,2025-09-10T14:34:01Z,157865
3206821323,dtcxzyw,LG,2025-09-10T15:56:44Z,157865
3206178598,jhuber6,,2025-09-10T13:29:58Z,157856
3205979563,Pierre-vh,,2025-09-10T12:40:58Z,157845
3206257278,dtcxzyw,LGTM. Thanks.,2025-09-10T13:47:52Z,157851
3205975705,Pierre-vh,,2025-09-10T12:40:11Z,157844
3206167177,s-barannikov,,2025-09-10T13:27:09Z,157847
3206171569,s-barannikov,,2025-09-10T13:28:13Z,157847
3206188943,jurahul,,2025-09-10T13:32:31Z,157847
3206193869,s-barannikov,,2025-09-10T13:33:42Z,157847
3206201472,s-barannikov,,2025-09-10T13:35:34Z,157847
3206411719,jurahul,,2025-09-10T14:18:40Z,157847
3206412604,jurahul,,2025-09-10T14:18:52Z,157847
3206468450,s-barannikov,,2025-09-10T14:31:07Z,157847
3206480635,s-barannikov,,2025-09-10T14:34:03Z,157847
3206488734,s-barannikov,,2025-09-10T14:35:53Z,157847
3206549178,jurahul,,2025-09-10T14:50:01Z,157847
3206551042,jurahul,,2025-09-10T14:50:29Z,157847
3206607458,s-barannikov,,2025-09-10T15:03:50Z,157847
3206669656,jurahul,,2025-09-10T15:18:37Z,157847
3206800987,s-barannikov,,2025-09-10T15:50:31Z,157847
3205721748,joker-eph,"Makes sense to me. While the overall feature is likely desirable, this seems a bit unstable in-tree and probably deserves a bit more testing.",2025-09-10T11:31:52Z,157831
3205729617,jpienaar,"Builds broken, so good to rollback and fix off critical path.",2025-09-10T11:34:36Z,157831
3205681188,s-barannikov,,2025-09-10T11:18:24Z,157833
3205686376,arsenm,Testcase? ,2025-09-10T11:20:02Z,157829
3208131489,arsenm,,2025-09-10T23:22:57Z,157829
3208355696,fzou1,,2025-09-11T01:25:30Z,157829
3208356045,fzou1,,2025-09-11T01:25:47Z,157829
3208356294,fzou1,,2025-09-11T01:26:01Z,157829
3205501162,arsenm,,2025-09-10T10:25:13Z,157827
3205661841,abhishek-kaushik22,,2025-09-10T11:12:14Z,157827
3205740117,arsenm,,2025-09-10T11:38:01Z,157827
3205381069,Xazax-hun,,2025-09-10T09:50:53Z,157820
3205392310,arsenm,,2025-09-10T09:54:10Z,157823
3205396115,jplehr,,2025-09-10T09:55:16Z,157823
3204965792,nikic,LGTM,2025-09-10T08:06:36Z,157807
3205078604,nikic,,2025-09-10T08:35:31Z,157810
3205260963,arsenm,,2025-09-10T09:19:25Z,157810
3205370111,Xazax-hun,,2025-09-10T09:47:53Z,157800
3204558836,arsenm,,2025-09-10T06:10:13Z,157798
3204352900,tgymnich,,2025-09-10T04:13:52Z,157792
3206813556,thurstond,,2025-09-10T15:54:21Z,157793
3204971500,tgymnich,,2025-09-10T08:08:19Z,157791
3206188326,kuhar,,2025-09-10T13:32:21Z,157791
3204466176,tgymnich,,2025-09-10T05:21:09Z,157789
3206130238,kuhar,,2025-09-10T13:18:41Z,157789
3204350555,tgymnich,,2025-09-10T04:12:11Z,157788
3205301481,arsenm,ConstantLog2 name is better though ,2025-09-10T09:29:38Z,157790
3206192570,kuhar,,2025-09-10T13:33:25Z,157790
3203998804,jhuber6,,2025-09-10T01:25:01Z,157773
3204289584,preames,,2025-09-10T03:36:40Z,157777
3204405438,topperc,,2025-09-10T04:47:24Z,157777
3204703588,lukel97,,2025-09-10T07:02:35Z,157777
3206731505,preames,LGTM,2025-09-10T15:31:13Z,157777
3204512300,gysit,"LGTM from my end modulo some style nits.

Did you consider always using an array attribute (even if there is only one tag)? That may simplify to code and the usage of the annotations a bit?",2025-09-10T06:09:29Z,157770
3206844153,krzysz00,,2025-09-10T16:03:50Z,157770
3204406657,carlocab,,2025-09-10T04:48:19Z,157769
3203791049,mtrofin,just nits. thanks!,2025-09-09T23:52:45Z,157768
3203808931,lenary,LGTM,2025-09-09T23:57:23Z,157758
3203810659,lenary,,2025-09-09T23:58:16Z,157766
3204069868,sunshaoce,LGTM,2025-09-10T02:08:26Z,157766
3206661471,JDevlieghere,LGTM,2025-09-10T15:17:28Z,157756
3206705138,adrian-prantl,,2025-09-10T15:24:48Z,157750
3203371475,wangzpgi,,2025-09-09T21:19:36Z,157747
3204023247,frederick-vs-ja,,2025-09-10T01:41:28Z,157744
3203464509,michaelrj-google,LGTM after fixes.,2025-09-09T21:55:51Z,157746
3203480355,jhuber6,,2025-09-09T21:57:03Z,157746
3203486168,jhuber6,,2025-09-09T22:00:24Z,157746
3203486698,SchrodingerZhu,LGTM,2025-09-09T22:00:41Z,157746
3203490424,michaelrj-google,,2025-09-09T22:02:44Z,157746
3203500068,michaelrj-google,,2025-09-09T22:06:36Z,157746
3203534534,michaelrj-google,"LGTM, thanks for getting these tested!",2025-09-09T22:21:45Z,157746
3203213262,SchrodingerZhu,,2025-09-09T20:38:29Z,157739
3203372715,michaelrj-google,,2025-09-09T21:20:07Z,157739
3203376380,jhuber6,,2025-09-09T21:21:18Z,157739
3203460354,michaelrj-google,LGTM,2025-09-09T21:48:43Z,157739
3203130668,sarnex,,2025-09-09T20:13:19Z,157741
3206570586,boomanaiden154,"Seems reasonable enough to me. I might try a more principled fix in `clang/lib/Basic/Builtins.cpp` again at some point, but that needs some more thinking and this works well for now.",2025-09-10T14:55:06Z,157741
3204083170,hstk30-hw,,2025-09-10T02:18:15Z,157735
3204234272,lukel97,,2025-09-10T03:19:25Z,157735
3202812719,vzakhari,"Thank you, Valentin! LGTM!",2025-09-09T18:38:34Z,157731
3202797110,klausler,,2025-09-09T18:42:43Z,157731
3202656500,AmrDeveloper,"LGTM, Thanks",2025-09-09T17:45:51Z,157724
3202704518,mmha,,2025-09-09T18:02:08Z,157724
3202715861,cmtice,,2025-09-09T18:05:54Z,157728
3202742395,boomanaiden154,,2025-09-09T18:14:07Z,157728
3202623298,jhuber6,,2025-09-09T17:36:33Z,157722
3205527814,jryans,Looks good! :slightly_smiling_face: ,2025-09-10T10:33:39Z,157716
3203476188,artagnon,,2025-09-09T21:55:15Z,157720
3203497610,preames,LGTM,2025-09-09T22:05:46Z,157720
3205187991,matthias-springer,,2025-09-10T09:03:45Z,157711
3202503698,andykaylor,,2025-09-09T17:03:11Z,157713
3202505631,AmrDeveloper,LGTM,2025-09-09T17:04:10Z,157713
3202512198,erichkeane,,2025-09-09T17:05:38Z,157713
3202517642,AmrDeveloper,,2025-09-09T17:07:35Z,157713
3202520975,erichkeane,,2025-09-09T17:08:46Z,157713
3202669843,andykaylor,,2025-09-09T17:50:15Z,157713
3202591797,clementval,LGTM,2025-09-09T17:26:32Z,157708
3205519848,jryans,Seems reasonable to me! :smile: ,2025-09-10T10:30:59Z,157707
3202414788,artagnon,"LGTM, thanks!",2025-09-09T16:33:23Z,157702
3202769334,fhahn,"LGTM, thanks",2025-09-09T18:23:47Z,157702
3202362109,jhuber6,,2025-09-09T16:18:02Z,157701
3202312732,EricWF,,2025-09-09T16:04:26Z,157699
3202328711,philnik777,,2025-09-09T16:08:59Z,157699
3208020704,t-rasmud,LGTM!,2025-09-10T22:29:11Z,157700
3202322507,joker-eph,Thanks for the quick fix!,2025-09-09T16:07:12Z,157697
3202237375,Icohedron,,2025-09-09T15:43:15Z,157690
3202258166,inbelic,,2025-09-09T15:48:39Z,157690
3202377654,farzonl,,2025-09-09T16:23:01Z,157690
3202420076,inbelic,,2025-09-09T16:35:12Z,157690
3202082589,Xazax-hun,,2025-09-09T15:08:22Z,157685
3202252188,lenary,LGTM thanks ,2025-09-09T15:46:53Z,157686
3202300573,topperc,LGTM,2025-09-09T16:00:56Z,157686
3206897159,OCHyams,"Makes sense to me, LGTM! The comments in the test are appreciated",2025-09-10T16:20:31Z,157683
3202064155,boomanaiden154,"If this passes locally (and failed locally before), you can just merge without waiting for CI.",2025-09-09T15:04:38Z,157684
3202249762,tbaederr,,2025-09-09T15:46:08Z,157681
3202021473,nikic,LGTM,2025-09-09T15:00:08Z,157682
3202055987,jhuber6,"Appreciate you fixing this, the `libc` tests are very unorthodox as far as GPU targets go but they tend to hit weird behavior.",2025-09-09T15:03:02Z,157682
3203795573,perlfu,LGTM,2025-09-09T23:51:14Z,157682
3205076991,ritter-x2a,,2025-09-10T08:35:01Z,157682
3205935415,jayfoad,,2025-09-10T12:32:07Z,157682
3206434701,ritter-x2a,,2025-09-10T14:23:49Z,157682
3206436941,ritter-x2a,,2025-09-10T14:24:20Z,157682
3201784628,jplehr,lgtm,2025-09-09T13:59:28Z,157673
3203072139,dschuff,,2025-09-09T19:54:28Z,157669
3201718450,Xazax-hun,,2025-09-09T13:49:20Z,157670
3201816108,steakhal,,2025-09-09T14:06:25Z,157670
3201839056,Xazax-hun,,2025-09-09T14:11:12Z,157670
3201562707,artagnon,"LGTM modulo one error, thanks!",2025-09-09T13:25:59Z,157664
3205374314,fhahn,,2025-09-10T09:49:08Z,157664
3201714540,SLTozer,"LGTM to fix the buildbots and remove the temp code, though a clearer idea of why we don't have the modules available (and more importantly whether Dexter can fix that) would be good in the longer term.",2025-09-09T13:46:41Z,157663
3201400073,Xazax-hun,,2025-09-09T12:51:21Z,157661
3201409537,alexfh,Thank you for the fix!,2025-09-09T12:53:09Z,157662
3201429580,kadircet,"ugh this looks quite fragile (not your fix but rather having multiple ways to call profile), i am worried we might have divergences in other places as well :(

i think it would be nice to handle that in a more principled way for the future. thanks for the fix!",2025-09-09T12:56:54Z,157662
3201437526,cor3ntin,,2025-09-09T12:58:30Z,157662
3201272082,arsenm,,2025-09-09T12:26:11Z,157658
3202421648,RKSimon,LGTM,2025-09-09T16:35:43Z,157658
3201216541,Xazax-hun,,2025-09-09T12:14:39Z,157657
3201274891,NagyDonat,,2025-09-09T12:26:48Z,157657
3202146167,adrian-prantl,,2025-09-09T15:22:53Z,157649
3203312255,dmpots,I tested locally with this PR and no longer see the segmentation fault from #137046.,2025-09-09T20:59:25Z,157649
3200972262,arsenm,,2025-09-09T11:12:24Z,157647
3200965249,Xazax-hun,,2025-09-09T11:10:14Z,157645
3202583396,rampitec,,2025-09-09T17:23:50Z,157641
3202579583,rampitec,,2025-09-09T17:22:36Z,157640
3202466780,rampitec,,2025-09-09T16:51:06Z,157639
3200446962,Xazax-hun,,2025-09-09T09:35:06Z,157630
3200089535,lukel97,LGTM. And it looks like simplifyBlends calls recursivelyDeleteDeadRecipes after itself so we shouldn't need to run removeDeadRecipes after it.,2025-09-09T08:33:27Z,157622
3200545618,paulwalker-arm,,2025-09-09T09:51:39Z,157622
3200614866,fhahn,"LGTM, thanks",2025-09-09T10:03:16Z,157622
3200623150,david-arm,LGTM!,2025-09-09T10:04:36Z,157622
3199489046,topperc,,2025-09-09T06:12:16Z,157617
3199556091,wangpc-pp,,2025-09-09T06:27:30Z,157617
3199556637,wangpc-pp,LGTM.,2025-09-09T06:27:41Z,157617
3199673031,pfusik,,2025-09-09T06:54:41Z,157617
3199700620,pfusik,,2025-09-09T07:05:08Z,157617
3202210665,topperc,,2025-09-09T15:38:36Z,157617
3204728006,pfusik,LGTM,2025-09-10T07:08:38Z,157617
3201934958,dtcxzyw,,2025-09-09T14:34:00Z,157614
3202333635,dtcxzyw,"Changes w/o freeze look good.
",2025-09-09T16:10:19Z,157614
3202747881,andjo403,,2025-09-09T18:16:04Z,157614
3202951955,nikic,LGTM,2025-09-09T19:20:05Z,157614
3201944407,makslevental,LGTM!,2025-09-09T14:36:20Z,157613
3199776536,philnik777,,2025-09-09T07:23:16Z,157610
3201088143,ldionne,,2025-09-09T11:46:35Z,157610
3199085830,boomanaiden154,,2025-09-09T03:45:36Z,157605
3202362315,s-barannikov,,2025-09-09T16:18:07Z,157600
3202713207,topperc,LGTM,2025-09-09T18:04:55Z,157600
3198867770,boomanaiden154,"What's the main purpose of doing this? This doesn't seem super relevant to the profcheck stuff, because that's catching places where the metadata was just completely ignored.

This also adds a bit of overhead (presumably only in an asserts build when profcheck is enabled) when this data could be obtained by bisecting the pass pipeline/in a debugger, although both of those are much less convenient.",2025-09-09T03:03:09Z,157594
3202769883,boomanaiden154,"Optimization remarks seems like good enough motivation to me.

I can't imagine the overhead of this is that high.",2025-09-09T18:23:59Z,157594
3202895741,snehasish,,2025-09-09T19:03:10Z,157594
3202961135,mtrofin,,2025-09-09T19:22:51Z,157594
3203124219,david-xl,,2025-09-09T20:13:19Z,157594
3203154850,david-xl,,2025-09-09T20:21:08Z,157594
3203160453,mtrofin,,2025-09-09T20:22:58Z,157594
3203165719,mtrofin,,2025-09-09T20:24:31Z,157594
3203487207,david-xl,,2025-09-09T22:01:19Z,157594
3203514543,snehasish,lgtm,2025-09-09T22:12:55Z,157594
3199804356,nikic,,2025-09-09T07:30:53Z,157591
3200550771,nikic,LGTM,2025-09-09T09:53:36Z,157593
3202264887,labrinea,,2025-09-09T15:50:36Z,157593
3203676748,Arghnews,,2025-09-09T23:03:45Z,157593
3204117107,hstk30-hw,,2025-09-10T02:32:35Z,157593
3203429732,rkayaith,"I don't fully follow the cmake-fu, but I've tried this out and it does indeed fix the issues I hit downstream.",2025-09-09T21:38:01Z,157589
3198708830,compnerd,,2025-09-09T01:31:11Z,157588
3198717344,boomanaiden154,,2025-09-09T01:38:08Z,157588
3198845990,ilovepi,,2025-09-09T02:50:04Z,157588
3198640875,rkayaith,,2025-09-09T01:03:52Z,157583
3198643235,krzysz00,"Seems fine, I'm trusting this is a reasonable emergency fix",2025-09-09T01:05:52Z,157583
3198666958,makslevental,,2025-09-09T01:11:30Z,157583
3198681540,rkayaith,,2025-09-09T01:14:39Z,157583
3203382804,JDevlieghere,LGTM modulo formatting and [no-else-after-return](https://clang.llvm.org/extra/clang-tidy/checks/readability/else-after-return.html). ,2025-09-09T21:25:12Z,157577
3200208314,DavidSpickett,"LGTM, thanks.",2025-09-09T08:56:19Z,157566
3198421157,eugeneepshteyn,,2025-09-08T22:50:46Z,157571
3201746033,akuhlens,,2025-09-09T13:51:32Z,157571
3202361672,DanielCChen,"LGTM.
It fixed the test cases marked against this issue.
Thanks.",2025-09-09T16:17:54Z,157571
3199931833,jeanPerier,"Thanks, this looks great! A few comments inline.

>   is much more efficient in a case of presence of the 'kind' intrinsic parameter.

Indeed, the INDEX lowering code in IntrinsicCall.cpp is needlessly complex when KIND is present while KIND does not matter at all as far as lowering is concerned (semantics did the work). INDEX seems to be one of the first ""non trivial"" intrinsic that was implemented...

While an hlfir.index was not needed just to fix this (just always using fir::runtime::genIndex would have work), I like adding an hlfir.index operation given there are other INDEX related optimizations that will be a lot easier to do at that level.",2025-09-09T09:17:01Z,157575
3203332712,vzakhari,LGTM! Thank you!,2025-09-09T21:10:38Z,157575
3203703926,valerydmit,,2025-09-09T23:12:25Z,157575
3206928469,jeanPerier,"Looks great, thanks",2025-09-10T16:30:42Z,157575
3198483684,boomanaiden154,,2025-09-08T23:37:24Z,157572
3198489982,cmtice,,2025-09-08T23:42:53Z,157572
3198499681,boomanaiden154,,2025-09-08T23:48:36Z,157572
3199132025,vbvictor,,2025-09-09T04:09:59Z,157572
3201501575,makslevental,Thanks!,2025-09-09T13:10:30Z,157562
3201990939,lntue,,2025-09-09T14:47:27Z,157565
3198301280,JDevlieghere,,2025-09-08T21:49:41Z,157561
3198303888,ilovepi,"This seems fine to me, especially since it follows our written policy on version support.

Does this need any kind of release note? It's a pure dev dependency, so I'd say ""no"", but I could also see how a consumer would have wanted to know about it. ",2025-09-08T21:51:15Z,157558
3201895555,philnik777,Basically LGTM.,2025-09-09T14:24:49Z,157556
3201970359,ldionne,,2025-09-09T14:42:19Z,157556
3202181282,preames,,2025-09-09T15:32:04Z,157555
3202182863,preames,LGTM w/prior comment addressed.,2025-09-09T15:32:30Z,157555
3203345715,fhahn,,2025-09-09T21:13:12Z,157555
3205122925,nikic,,2025-09-10T08:46:58Z,157555
3205124889,nikic,,2025-09-10T08:47:31Z,157555
3205273450,fhahn,,2025-09-10T09:22:56Z,157555
3206155421,fhahn,,2025-09-10T13:24:16Z,157555
3203502055,michaelrj-google,LGTM,2025-09-09T22:07:37Z,157551
3198273399,Jianhui-Li,,2025-09-08T21:40:48Z,157550
3198293085,Jianhui-Li,,2025-09-08T21:45:41Z,157550
3198293842,Jianhui-Li,LGTM with minor comments,2025-09-08T21:45:49Z,157550
3207772750,charithaintc,,2025-09-10T20:47:59Z,157550
3207790715,nbpatel,LGTM,2025-09-10T20:51:49Z,157550
3198153759,shiltian,,2025-09-08T20:54:11Z,157549
3198113125,shiltian,,2025-09-08T20:44:36Z,157547
3198118949,jdenny-ornl,,2025-09-08T20:46:28Z,157547
3198125914,shiltian,,2025-09-08T20:48:18Z,157547
3198128064,jhuber6,,2025-09-08T20:48:42Z,157547
3198132822,jhuber6,,2025-09-08T20:49:35Z,157547
3198151330,jdenny-ornl,,2025-09-08T20:53:33Z,157547
3198153066,shiltian,,2025-09-08T20:53:56Z,157547
3198155716,jhuber6,,2025-09-08T20:54:59Z,157547
3198157882,jdenny-ornl,,2025-09-08T20:55:54Z,157547
3198182059,jhuber6,,2025-09-08T21:04:18Z,157547
3198223474,jdenny-ornl,,2025-09-08T21:19:50Z,157547
3198384798,jhuber6,,2025-09-08T22:27:47Z,157547
3202565576,jdenny-ornl,,2025-09-09T17:19:28Z,157547
3199597261,wangpc-pp,LGTM.,2025-09-09T06:37:02Z,157544
3198113692,shiltian,,2025-09-08T20:44:51Z,157540
3199160152,MaskRay,"Having upstream GCC bug filed would be nice if someone is willing to do the work, and then add a comment to this PR or the linked issues.",2025-09-09T04:29:41Z,157541
3198212258,topperc,,2025-09-08T21:16:25Z,157539
3201725575,preames,,2025-09-09T13:48:31Z,157539
3202981906,topperc,LGTM,2025-09-09T19:28:07Z,157539
3202944820,michaelrj-google,"given that these SIMD utilities are getting more complex, it would be best to add unit tests to ensure that they work. It'd probably be best to do that in a separate patch to avoid having one massive patch.",2025-09-09T19:18:06Z,157537
3202950453,jhuber6,,2025-09-09T19:18:50Z,157537
3203080057,lntue,,2025-09-09T19:57:15Z,157537
3203090646,jhuber6,,2025-09-09T20:00:39Z,157537
3207007546,michaelrj-google,,2025-09-10T16:55:38Z,157537
3207014748,jhuber6,,2025-09-10T16:56:57Z,157537
3207102537,michaelrj-google,,2025-09-10T20:32:46Z,157537
3207722391,jhuber6,,2025-09-10T20:34:19Z,157537
3207725037,jhuber6,,2025-09-10T20:35:36Z,157537
3207743139,michaelrj-google,,2025-09-10T20:40:14Z,157537
3207752745,jhuber6,,2025-09-10T20:43:06Z,157537
3207762862,jhuber6,,2025-09-10T20:46:11Z,157537
3207813927,michaelrj-google,LGTM after minor fixes,2025-09-10T21:03:56Z,157537
3197814461,changpeng,,2025-09-08T19:12:23Z,157534
3201917923,jvoung,"Thanks!

Were you also able to test this against several ""real"" inputs?",2025-09-09T14:39:13Z,157535
3202804908,jvoung,,2025-09-09T18:35:59Z,157535
3197820186,changpeng,,2025-09-08T19:13:41Z,157533
3197918228,Max191,,2025-09-08T19:49:36Z,157532
3198046498,fmayer,Please fix the build error ,2025-09-08T20:24:34Z,157528
3198080997,fmayer,,2025-09-08T20:34:10Z,157528
3198081379,fmayer,,2025-09-08T20:34:16Z,157528
3197822654,changpeng,,2025-09-08T19:14:35Z,157531
3197827043,changpeng,,2025-09-08T19:16:11Z,157526
3198482646,arsenm,,2025-09-08T23:36:27Z,157520
3197505321,lntue,,2025-09-08T17:48:13Z,157517
3200596984,nikic,LGTM,2025-09-09T10:00:16Z,157518
3200609781,fhahn,"LGTM, should be good to go now that the changed has been re-landed as 9b1b93766dfa34ee94859d91a5fcfef853b95265",2025-09-09T10:02:17Z,157518
3197456940,Sisyph,,2025-09-08T17:30:46Z,157516
3197525928,rampitec,,2025-09-08T17:56:15Z,157516
3197558116,Sisyph,,2025-09-08T18:04:54Z,157516
3197563517,rampitec,"LGTM, thanks.",2025-09-08T18:06:58Z,157516
3198479113,arsenm,,2025-09-08T23:33:26Z,157516
3197826365,rolfmorel,LGTM - thanks for the clean-up!,2025-09-08T19:15:56Z,157519
3199874302,fhahn,do we have other tests covering the same case with constant trip counts or should we keep the original test and add a new one with variable trip count?,2025-09-09T07:49:32Z,157512
3201390220,david-arm,"LGTM! I realised now that `@main_vf_vscale_x_16` already exists in sve-epilog-vect.ll for the default case where we prefer the fixed-width epilogue, so it seems fine to simply change this test to use a variable trip count.",2025-09-09T12:49:30Z,157512
3205261157,fhahn,"> LGTM! I realised now that `@main_vf_vscale_x_16` already exists in sve-epilog-vect.ll for the default case where we prefer the fixed-width epilogue, so it seems fine to simply change this test to use a variable trip count.

Sounds good to me, LG!",2025-09-10T09:19:28Z,157512
3197416081,eugeneepshteyn,,2025-09-08T17:15:57Z,157513
3197363371,spall,lgtm,2025-09-08T16:59:09Z,157505
3197347677,Icohedron,,2025-09-08T17:01:35Z,157505
3197393434,farzonl,,2025-09-08T17:08:11Z,157505
3197408580,Icohedron,,2025-09-08T17:13:13Z,157505
3198236633,JDevlieghere,,2025-09-08T21:28:12Z,157503
3202456073,ashgti,,2025-09-09T16:47:36Z,157503
3202456402,ashgti,,2025-09-09T16:47:43Z,157503
3202456689,ashgti,,2025-09-09T16:47:49Z,157503
3202457095,ashgti,,2025-09-09T16:47:59Z,157503
3202474260,JDevlieghere,🛫,2025-09-09T16:53:44Z,157503
3197079793,zero9178,,2025-09-08T15:36:36Z,157491
3197214620,cor3ntin,,2025-09-08T16:10:20Z,157501
3197688820,ZequanWu,,2025-09-08T18:34:52Z,157493
3203137234,shafik,,2025-09-09T20:15:29Z,157490
3204573637,tbaederr,,2025-09-10T06:16:38Z,157490
3200688389,paulwalker-arm,,2025-09-09T10:15:21Z,157489
3196937603,Michael137,,2025-09-08T14:59:41Z,157483
3196939142,Michael137,LGTM,2025-09-08T15:00:00Z,157483
3197140790,makslevental,LGTM! Let me know when you're ready to merge,2025-09-08T15:52:32Z,157487
3198283601,efriedma-quic,"I think organizing like this makes sense.  LGTM.  (Note this conflicts with #156467.)
",2025-09-08T21:44:00Z,157485
3196949228,pfusik,,2025-09-08T15:02:11Z,157482
3197104298,pfusik,LGTM,2025-09-08T15:44:00Z,157482
3196858067,xlauko,lgtm,2025-09-08T14:39:49Z,157477
3196869580,mmha,LGTM,2025-09-08T14:42:49Z,157477
3196928556,pfusik,LGTM,2025-09-08T14:57:34Z,157479
