number,state,title,user/login,body,created_at,updated_at,closed_at,merged_at,merged,comments,review_comments,commits,additions,deletions,changed_files
157942,closed,[libc] Clean up errno header usage in wchar tests.,vonosmas,"See PR #157898 and PR #157517 for similar changes to math tests.

Don't include libc_errno.h header, since the tests don't manipulate errno directly. Instead, where appropriate, include hdr/errno_macros.h proxy header to get errno constant values to match against.",2025-09-10T19:53:37Z,2025-09-10T22:52:47Z,2025-09-10T22:52:24Z,2025-09-10T22:52:24Z,True,1,0,1,22,20,11
157943,closed,[ExpandVectorPredication] Keep the original value name when expanding predicated instructions.,topperc,"This makes it easier to follow a value through the pass. If we pass the original name to the create function, a number will be added as a suffix since the original name is still used until it is replaced.",2025-09-10T19:55:17Z,2025-09-10T23:18:15Z,2025-09-10T23:18:12Z,2025-09-10T23:18:12Z,True,0,0,1,17,16,1
157932,closed,[mlir][Linalg] Allow PartialReductionOpInterface ops in tile_reduction_using_forall,bangtianliu,"Following [PR #120118](https://github.com/llvm/llvm-project/pull/120118), this PR extends `transform.structured.tile_reduction_using_forall` so that it can be applied to any operation implementing `PartialReductionOpInterface`, rather than being restricted to LinalgOp.

Existing tests relevant to linalg ops remain valid: https://github.com/llvm/llvm-project/blob/2a2296b1aab4614bf6c95c3003000832c9d43de5/mlir/test/Dialect/Linalg/transform-tile-reduction.mlir#L114

Additional tests for non-Linalg operations (e.g., IREE custom ops that implement `PartialReductionOpInterface`) will be added on the IREE side.",2025-09-10T18:50:28Z,2025-09-10T19:58:34Z,2025-09-10T19:49:24Z,2025-09-10T19:49:24Z,True,1,0,1,14,7,2
157935,closed,[AMDGPU] Restrict operands of ld_scale_paired to low 256 vgprs. NFCI,rampitec,"This is NFC because these instructions are never selected just
by itself.",2025-09-10T19:18:19Z,2025-09-10T22:17:57Z,2025-09-10T22:17:55Z,2025-09-10T22:17:55Z,True,3,0,1,2,2,1
157931,closed,[flang][cuda][NFC] Simplify IsCUDAShared,clementval,,2025-09-10T18:49:19Z,2025-09-10T19:54:37Z,2025-09-10T19:19:56Z,2025-09-10T19:19:56Z,True,1,0,1,2,4,1
157926,closed,"[flang][OpenMP] Parse TASKGRAPH, GRAPH_ID, and GRAPH_RESET",kparzysz,"This is parsing only, no semantic check are performed.",2025-09-10T18:41:26Z,2025-09-11T01:14:10Z,2025-09-11T00:40:28Z,2025-09-11T00:40:28Z,True,2,0,5,134,0,6
157925,closed,[clang] fix incorrect assumption about function type 's ExtInfo,mizvekov,"This fixes an assumption that the ExtInfo for two same function types would have referential equality.

This should compare these ExtInfos by value instead.

The bug is pre-existing to https://github.com/llvm/llvm-project/pull/147835, but that PR adds another way to reproduce it.",2025-09-10T18:34:15Z,2025-09-10T20:03:28Z,2025-09-10T19:13:38Z,2025-09-10T19:13:38Z,True,1,0,1,32,1,3
157921,closed,[RISCV] Correct the predicate for the ror and rorw with immediate InstAliases.,topperc,,2025-09-10T18:24:14Z,2025-09-10T19:37:54Z,2025-09-10T19:20:27Z,2025-09-10T19:20:27Z,True,3,0,2,50,6,3
157915,closed,[RISCV] Add helper method for detecting BEXTI or TH_TST is supported. NFC,topperc,"These instructions both extract single bit to bit 0 and fill the upper bits with 0.

There's at least one place where we check for BEXTI but not TH_TST. I wanted to keep this patch NFC so that will be a follow up fix.",2025-09-10T18:00:06Z,2025-09-10T19:16:50Z,2025-09-10T19:16:47Z,2025-09-10T19:16:47Z,True,2,0,2,4,2,3
157916,closed,[lldb][test] skip test `TestRerunAndExprDylib.py` on remote,da-viper,,2025-09-10T18:03:12Z,2025-09-10T19:26:36Z,2025-09-10T19:26:36Z,2025-09-10T19:26:36Z,True,1,0,1,1,0,1
157924,closed,[lldb-dap] Fix test: TestDAP_server.py,royitaqi,"See https://github.com/llvm/llvm-project/pull/156803#issuecomment-3275911510 for full context.

Summary:
* In https://github.com/llvm/llvm-project/pull/156803, we see a builtbot failure for `TestDAP_server.py` on Debian. Note that macOS and other Linux distributions (like CentOS, or whatever Linux the [required buildbot](https://github.com/llvm/llvm-project/actions/runs/17594257911/job/49982560193#logs) uses) seem to pass the tests.
* In the 3 newly added tests, the most complex test case passed, while the other easier ones failed.
```
PASS: LLDB (/home/worker/2.0.1/lldb-x86_64-debian/build/bin/clang-x86_64) :: test_connection_timeout_multiple_sessions (TestDAP_server.TestDAP_server.test_connection_timeout_multiple_sessions)
FAIL: LLDB (/home/worker/2.0.1/lldb-x86_64-debian/build/bin/clang-x86_64) :: test_connection_timeout_long_debug_session (TestDAP_server.TestDAP_server.test_connection_timeout_long_debug_session)
FAIL: LLDB (/home/worker/2.0.1/lldb-x86_64-debian/build/bin/clang-x86_64) :: test_connection_timeout_at_server_start (TestDAP_server.TestDAP_server.test_connection_timeout_at_server_start)
```
* The error is that `process.wait(timeout)` timed out during the teardown of the tests.
* The above suggests that maybe the root cause is that the timeout is set too strictly (and that maybe the server termination on Debian is slower than the other Linux distribution for some reason).
* This patch loosens that timeout from 2s to 5s. Let's see if this works.
* FWIW, I cannot verify the root cause, because I don't have a Debian machine.",2025-09-10T18:32:38Z,2025-09-10T19:00:58Z,2025-09-10T18:45:03Z,2025-09-10T18:45:03Z,True,2,0,1,3,3,1
157914,closed,[flang][cuda] Call runtime initialize for derived type with device components,clementval,,2025-09-10T17:57:44Z,2025-09-10T18:20:02Z,2025-09-10T18:19:56Z,2025-09-10T18:19:56Z,True,1,0,1,10,1,2
157912,closed,"Revert ""[AMDGPU] Change expand-fp opt level argument syntax""",justinfargnoli,Reverts llvm/llvm-project#157408 as `pass-parameters.ll` is failing. ,2025-09-10T17:45:46Z,2025-09-10T17:48:34Z,2025-09-10T17:48:34Z,,False,3,1,1,20,18,6
157913,closed,"Revert ""[NFC] Fix CodeQL violations in compiler-rt. (#157793)""",ampandey-1995,This reverts commit b44e6e01f7f778bbb569e07821f5ddfdb90c4d4d.,2025-09-10T17:46:22Z,2025-09-10T17:50:02Z,2025-09-10T17:48:55Z,2025-09-10T17:48:55Z,True,2,0,1,19,21,5
157910,closed,[compiler-rt] Update some tests to pass with lit internal shell.,cmtice,The lit internal shell needs environment variable definitions to be preceded by the 'env' keyword. This PR add that to tests that were missing it.,2025-09-10T17:39:40Z,2025-09-10T18:38:20Z,2025-09-10T18:38:20Z,2025-09-10T18:38:20Z,True,1,0,1,6,6,6
157907,closed,"Revert ""[NFC] Fix CodeQL violations in compiler-rt.""",ampandey-1995,Reverts llvm/llvm-project#157793,2025-09-10T17:25:20Z,2025-09-10T17:29:27Z,2025-09-10T17:29:26Z,,False,4,0,1,19,21,5
157906,closed,[NFCI] Fix Wattributes warnings from Sema.,erichkeane,"See: https://github.com/llvm/llvm-project/issues/157834

There is some visibility concerns here, so this patch suppresses the diagnostic. I believe we are doing this intentionally, so unless someone comes up with a good reason we should either remove the visibility of Sema, or make these types visible, this seems like the right way forward.

Fixes: #157834",2025-09-10T17:24:19Z,2025-09-10T21:28:03Z,2025-09-10T20:37:13Z,2025-09-10T20:37:13Z,True,5,0,2,7,0,1
157901,closed,[RISCV] Extend zvqdot matching to handle disjoint or,XChy,"This patch makes use of pattern matching to handle disjoint or. Also, it simplifies the multiplication matching.",2025-09-10T16:59:50Z,2025-09-10T17:27:52Z,2025-09-10T17:27:52Z,2025-09-10T17:27:52Z,True,1,0,2,133,9,2
157905,closed,[lldb] Remove unused swig macro (NFC),kastiglione,,2025-09-10T17:15:09Z,2025-09-10T17:39:44Z,2025-09-10T17:39:39Z,2025-09-10T17:39:39Z,True,1,0,1,0,17,1
157898,closed,[libc] Clean up errno header usage in math tests.,vonosmas,"This is one more follow-up to PR https://github.com/llvm/llvm-project/pull/157517 that cleans up the usage of
libc_errno in math unit-tests (non-smoke). It follows the same rule:

* if you use libc_errno in code literally, include src/__support/libc_errno.h
* if you only rely on errno constants, include hdr/errno_macros.h

Several tests for exp/log still retain the direct libc_errno usage,
since in some cases they skip doing any validation if the error was
raised. But the direct usage of libc_errno is removed from all other
cases.",2025-09-10T16:55:08Z,2025-09-10T18:18:08Z,2025-09-10T18:18:08Z,2025-09-10T18:18:08Z,True,1,0,3,27,112,33
157894,closed,"Reapply ""[APINotes] Prefer diff -u over diff -b""",boomanaiden154,"This reverts commit 8d35bcc52117b79517f518de952b4b50463de160.

This was causing failures on MacOS due to the head command there not supporting negative offsets. This patch fixes that by removing the call to HEAD and relaxing the requirements around removing the last line of the file.",2025-09-10T16:42:57Z,2025-09-10T17:04:29Z,2025-09-10T17:04:03Z,2025-09-10T17:04:03Z,True,1,0,1,23,32,2
157891,closed,[RISCV] Add helper method for checking for Zicond or XVentanaCondOps. NFC,topperc,These two extensions have identical functionality so we always want to treat them the same.,2025-09-10T16:19:38Z,2025-09-10T17:24:51Z,2025-09-10T17:24:48Z,2025-09-10T17:24:48Z,True,1,0,2,9,11,2
157877,closed,[AMDGPU] Add builtins and intrinsics for cluster attributes,shiltian,Co-authored-by: Ivan Kosarev <ivan.kosarev@amd.com>,2025-09-10T15:24:12Z,2025-09-10T18:41:57Z,2025-09-10T18:05:19Z,2025-09-10T18:05:19Z,True,7,0,1,194,0,3
157875,closed,Mark variable as maybe unused (only used in debug mode),basioli-k,,2025-09-10T15:10:21Z,2025-09-10T15:24:14Z,2025-09-10T15:10:33Z,2025-09-10T15:10:33Z,True,3,0,1,1,1,1
157884,closed,[LLVM] Prefer octal to hex for printf,boomanaiden154,"Hex escapes of the form \xff are not universally supported in the printf implementations on the platforms that LLVM runs on (although they apparently are in the shell builtins). Octal escapes are required to be supported by POSIX. This patch converts all hex escapes to octal escapes for compatibility reasons.

This came up when trying to turn on lit's internal shell by default for llvm/. We started using /usr/bin/printf instead of the shell builtin on MacOS, which does not support hex escapes.

I used the following python script to automate most of the conversion with a few manual touchups needed:
```py
import sys

def process_line(to_process: str):
    output = """"
    i = 0
    while i < len(to_process):
        if to_process[i:i+2] == '\\x':
            hex_string = to_process[i+2:i+4]
            number = int(hex_string, 16)
            output += ""\\""
            octal_string = oct(number)[2:]
            if len(octal_string) == 1:
                octal_string = ""00"" + octal_string
            elif len(octal_string) == 2:
                octal_string = ""0"" + octal_string
            assert(len(octal_string) == 3)
            output += octal_string
            i += 4
        else:
            output += to_process[i]
            i += 1
    return output

with open(sys.argv[1]) as input_file:
    lines = input_file.readlines()

for i, _ in enumerate(lines):
    lines[i] = process_line(lines[i])

with open(sys.argv[1], 'w') as output_file:
    output_file.writelines(lines)
```",2025-09-10T15:45:39Z,2025-09-10T20:36:48Z,2025-09-10T19:45:34Z,2025-09-10T19:45:34Z,True,4,0,1,67,67,14
157871,closed,[flang][OpenMP] Fix crash on DECLARE REDUCTION in unparse-with-symbols,kparzysz,,2025-09-10T14:46:20Z,2025-09-10T15:07:10Z,2025-09-10T15:07:04Z,2025-09-10T15:07:04Z,True,3,0,1,24,1,2
157872,closed,[lldb][test] Re-enable `TestRerunAndExprDylib.py`,da-viper,"the `skipTestIfFn` requires a function that return a string to skip or None to run the test. The `isUbuntu18_04` function returns a bool and the test is skipped on all platforms.


https://github.com/llvm/llvm-project/blob/25ebdfe0ab202a6cb30232d84bc5838439fd67d5/lldb/packages/Python/lldbsuite/test/decorators.py#L145-L157",2025-09-10T14:53:09Z,2025-09-10T19:26:01Z,2025-09-10T16:23:17Z,2025-09-10T16:23:17Z,True,3,0,1,2,2,1
157870,closed,[libc] Update some __builtin_* usage to be compatible with MSVC.,lntue,"__builtin_trap, __builtin_expect, __builtin_ctz*, __builtin_clz*, __builtin_popcount*.",2025-09-10T14:37:59Z,2025-09-10T15:38:15Z,2025-09-10T15:38:12Z,2025-09-10T15:38:12Z,True,1,0,2,47,2,4
157865,closed,[InstCombine] Preserve nneg in foldLogicCastConstant,XChy,This patch makes use of the new public helper function to preserve nneg in `foldLogicCastConstant`.,2025-09-10T14:19:04Z,2025-09-10T17:08:49Z,2025-09-10T16:55:03Z,2025-09-10T16:55:03Z,True,3,1,3,72,2,2
157867,closed,[X86] Fix throughput typo in XMM/YMM PACK/PALIGNR schedule classes,RKSimon,"Only the ZMM PACK/PALIGNR instructions are half-rate on znver4 - confirmed with AMD SOG, uops.info and Agner

Noticed because comparing costs table shuffle costs vs llvm-mca costs kept giving weird numbers if I tested it on znver4 vs any other avx2/avx512 target

It looks like there's other znver4 overrides that make this mistake but many of these need cleaning up properly to use the (currently unused) default classes",2025-09-10T14:32:38Z,2025-09-10T15:09:25Z,2025-09-10T15:04:26Z,2025-09-10T15:04:26Z,True,1,0,2,117,101,7
157857,closed,[NFC][LLVM] Fix link in Maintainers.md,DrSergei,Fixed link to LLDB maintainers list (format was changed in [48ace3f](https://github.com/llvm/llvm-project/commit/48ace3f872e4d844471cd1e821502dece3fe2bc0)). ,2025-09-10T13:31:27Z,2025-09-10T19:56:50Z,2025-09-10T19:56:50Z,2025-09-10T19:56:50Z,True,1,0,1,1,1,1
157861,closed,AMDGPU: Remove most manual AVLdSt decoder code,arsenm,"This was additional hacking around using incorrect register class
constraints for paired data operands. I'm not really sure why we
need any of what's left. In particular the IS_VGPR special case
seems backwards from how the encoding works.",2025-09-10T13:45:58Z,2025-09-10T23:16:28Z,2025-09-10T23:13:58Z,2025-09-10T23:13:58Z,True,3,0,1,0,42,1
157856,closed,[offload] Fix finding libomptarget in runtimes build,mgorny,"Per the logic in top-level CMakeLists, `libomptarget` is placed into `LLVM_LIBRARY_OUTPUT_INTDIR` when this variable is set.  Adjust the test logic to include this directory in `-L` and `-Wl,-rpath` arguments as well, in order to fix finding tests when building via the `runtimes` top-level directory.",2025-09-10T13:28:32Z,2025-09-10T14:32:04Z,2025-09-10T14:31:22Z,2025-09-10T14:31:22Z,True,3,0,1,2,0,1
157847,closed,[TableGen][DecoderEmitter] Report all decoding conflicts,jurahul,Do not exit when the first decoding conflict is encountered. Instead record the conflict and continue to report any additional decoding conflicts and exit fatally after all instructions have been processed.,2025-09-10T12:36:22Z,2025-09-10T16:06:48Z,2025-09-10T16:06:45Z,2025-09-10T16:06:45Z,True,1,14,4,64,11,2
157851,closed,[InstCombine] Use intersectForOffsetAdd() in CommonPointerBase,nikic,"Transforms using this helper will add up all the offsets, so we should use intersectForOffsetAdd() instead of plain intersection.

Annoyingly, this requires specially handling the first GEP to avoid losing flags in that case.

Fixes https://github.com/llvm/llvm-project/issues/157714.",2025-09-10T12:43:02Z,2025-09-10T13:57:29Z,2025-09-10T13:57:27Z,2025-09-10T13:57:27Z,True,2,0,1,17,5,2
157845,closed,AMDGPU/UniformityAnalysis: fix G_ZEXTLOAD and G_SEXTLOAD,petar-avramovic,"Use same rules for G_ZEXTLOAD and G_SEXTLOAD as for G_LOAD.
Flat addrspace(0) and private addrspace(5) G_ZEXTLOAD and G_SEXTLOAD
should be always divergent.",2025-09-10T12:31:46Z,2025-09-10T15:57:17Z,2025-09-10T15:57:15Z,2025-09-10T15:57:15Z,True,3,0,1,20,15,2
157844,closed,AMDGPU: Add uniformity analysis test for G_ZEXTLOAD and G_SEXTLOAD,petar-avramovic,,2025-09-10T12:31:44Z,2025-09-10T15:19:48Z,2025-09-10T15:19:45Z,2025-09-10T15:19:45Z,True,3,0,1,66,0,1
157833,closed,"Revert ""Mips: Force 64bit subtarget feature to be set for ABI options (#157446)""",arsenm,"This reverts commit 7768cca2c6617523e38ba9a8a3e8366752992ec5.

This is less necessary after 7f4c297e94dd604d66429dd0eb85c79e4d8c50a9",2025-09-10T11:15:17Z,2025-09-10T11:43:54Z,2025-09-10T11:43:53Z,2025-09-10T11:43:53Z,True,2,0,1,2,12,1
157828,closed,[Flang][Utils] Fix BUILD_SHARED_LIBS build,Meinersbur,"Required for `BUILD_SHARED_LIBS=ON` builds with optimizations disabled for the new FortranUtils library.

Also see #150027 #155422",2025-09-10T10:25:39Z,2025-09-10T10:49:18Z,2025-09-10T10:49:18Z,2025-09-10T10:49:18Z,True,0,0,1,2,0,1
157838,closed,[mlir][bazel] Fix build issues caused by #157711,basioli-k,,2025-09-10T11:48:55Z,2025-09-10T11:50:55Z,2025-09-10T11:50:55Z,2025-09-10T11:50:55Z,True,0,0,2,0,37,2
157829,closed,[LTO] Fix the issue of resetting the triple to default when it's empty,fzou1,The empty triple is passed to lookupTarget function and it's not set to default one. This issue is exposed after changes in https://github.com/llvm/llvm-project/pull/157591.,2025-09-10T10:40:46Z,2025-09-11T02:43:29Z,2025-09-11T02:43:25Z,2025-09-11T02:43:25Z,True,2,8,5,14,2,2
157831,closed,Revert stubgen-related patches,ftynse,"Despite several hotfixes, things remain broken, in particular:

- installation/distribution (`ninja install / install-distribution`);
- downstream projects with bindings exposed.

See https://github.com/llvm/llvm-project/pull/157583#issuecomment-3274164357 for more details.

Reverts #155741, #157583, #157697. Let's make sure things are fixed and re-land as a unit.",2025-09-10T10:57:04Z,2025-09-10T11:35:40Z,2025-09-10T11:35:38Z,2025-09-10T11:35:38Z,True,1,0,3,3185,166,13
157827,closed,[NFC][GlobalISel] Pass `APInt` by const reference,abhishek-kaushik22,"Change `SpecificConstantMatch` constructor and `isBuildVectorConstantSplat` overloads to take `const APInt&` instead of by value to avoid unnecessary copies, especially for wide integers.",2025-09-10T10:22:29Z,2025-09-11T05:41:20Z,2025-09-11T05:41:14Z,2025-09-11T05:41:14Z,True,1,2,1,9,5,3
157823,closed,[AMDGPU] Fix PR #157408 test failures,frederik-h,The test introduced by PR #157408 requires the amdgpu target. Move it to the subdirectory which only runs if the target is available.,2025-09-10T09:53:23Z,2025-09-10T10:36:55Z,2025-09-10T10:25:21Z,2025-09-10T10:25:21Z,True,2,0,1,0,0,1
157820,closed,[LifetimeSafety] Add PR labeler automation,usx95,This will add label `clang:temporal-safety` to PRs touching the mentioned files.,2025-09-10T09:33:52Z,2025-09-10T10:00:06Z,2025-09-10T10:00:05Z,2025-09-10T10:00:04Z,True,3,0,1,8,0,1
157803,closed,"[QualGroup] Define membership rules, merge sections",uwendi,"This patch updates the LLVM Qualification Group documentation to reflect current group structure and practices:

- Restructures the **Group Composition** section (previously ""Participation"" + ""Contributors"")
- Adds a formal **member table** with affiliations and community handles
- Introduces **participation principles**
- Documents **membership criteria**, **nomination process**, and **review cycle**
- Corrects references to **meeting materials** (wrong path)

These changes aim to improve clarity, inclusiveness, and alignment with similar working groups (e.g., LLVM Security Response Team).",2025-09-10T07:16:40Z,2025-09-10T07:33:12Z,2025-09-10T07:33:11Z,,False,1,0,4,126,26,3
157809,closed,Minimal Bazel module for 21.1.0,gaschler,"I'm not requesting code review or merge yet.

My goal is to have a public commit so Bazel projects can import
a half-working version of llvm-project 21.1.0, for example with
https://bazel.build/rules/lib/globals/module#git_override
The official version at Bazel Central registry is only 17, so quite outdated:
https://github.com/bazelbuild/bazel-central-registry/tree/main/modules/llvm-project

However, this branch here only compiles and passes tests for
bazel build llvm/... clang/...
bazel test llvm/... clang/...

How this was generated:
1. git checkout llvmorg-21.1.0
2.  Copy generated vars.bzl bolt/targets.bzl llvm/targets.bzl
(cd utils/bazel/ &&  bazel build   @llvm-project//... -k)
cp ./utils/bazel/bazel-bazel/external/llvm-project/vars.bzl ..
cp ./utils/bazel/bazel-bazel/external/llvm-project/bolt/targets.bzl ../bolt-targets.bzl
cp ./utils/bazel/bazel-bazel/external/llvm-project/llvm/targets.bzl ../llvm-targets.bzl
mv ../vars.bzl .
mv ../llvm-targets.bzl llvm/targets.bzl
mv ../bolt-targets.bzl bolt/targets.bzl
3. Apply Bazel overlay manually
cp -r utils/bazel/llvm-project-overlay/* .
rm -r utils/bazel/llvm-project-overlay/
4. Write custom MODULE.bazel
5. Small patches to clang/ and llvm/BUILD.bazel 

",2025-09-10T08:13:06Z,2025-09-10T08:27:45Z,2025-09-10T08:15:21Z,,False,1,0,241,23138,9047,786
157807,closed,[X86][Test] Update tests for `lround` and `llrint` (NFC),tgross35,"Apply the following changes:

* Ensure all float types are covered (`f16` and `f128` were often missing)
* Switch to more straightforward test names
* Remove some CHECK directives that are outdated (prefix changed but the directive did not get removed)
* Add common check prefixes to merge similar blocks
* Test a more similar set of platforms
* Add missing `nounwind`
* Test `strictfp` for each libcall where possible

This is a pre-test for [1].

[1]: https://github.com/llvm/llvm-project/pull/152684",2025-09-10T07:55:16Z,2025-09-10T08:31:33Z,2025-09-10T08:30:44Z,2025-09-10T08:30:44Z,True,2,0,1,1207,395,6
157817,closed,AMDGPU: Fix using unaligned VGPR in literal test,arsenm,"Make sure the tested error is the literal error, not
for unaligned registers.",2025-09-10T09:17:32Z,2025-09-10T10:08:35Z,2025-09-10T09:55:33Z,2025-09-10T09:55:33Z,True,3,0,1,2,2,1
157810,closed,[AMDGPU] Generate canonical additions in AMDGPUPromoteAlloca,ritter-x2a,"When we know that one operand of an addition is a constant, we might was
well put it on the right-hand side and avoid the work to canonicalize it
in a later pass.",2025-09-10T08:31:17Z,2025-09-10T12:46:48Z,2025-09-10T12:46:46Z,2025-09-10T12:46:46Z,True,4,0,1,10,10,4
157800,closed,[analyzer][NFC] Modernize LivenessValues::isLive,steakhal,Removing statefullness also adds the benefit of short circuiting.,2025-09-10T06:40:57Z,2025-09-10T10:14:57Z,2025-09-10T10:14:57Z,2025-09-10T10:14:57Z,True,1,0,1,8,6,1
157793,closed,[NFC] Fix CodeQL violations in compiler-rt.,ampandey-1995,"This pull request addresses fixes against violations happening under subcategory 'cpp/wrong-type-format-argument' related to dfsan,fuzzer,hwasan.",2025-09-10T04:25:32Z,2025-09-10T18:11:46Z,2025-09-10T16:13:48Z,2025-09-10T16:13:48Z,True,6,0,1,21,19,5
157796,closed,[orc-rt] Simplify construction of SPSSerializableExpected from values.,lhames,Adds an overload of toSPSSerializableExpected that takes a plain T value and returns an SPSSerializableExpected<T>. This will reduce some boilerplate when creating SPSSerializableExpected values.,2025-09-10T04:51:42Z,2025-09-10T04:56:16Z,2025-09-10T04:56:12Z,2025-09-10T04:56:12Z,True,0,0,1,29,8,2
